replication,seed,bootstrap_refit_version,fit_2016-10_N,fit_2016-10_p,fit_2016-10_r,fit_2016-10_q,fit_2016-10_n_starts,fit_2016-10_sse_log_weighted,fit_2017-07_N,fit_2017-07_p,fit_2017-07_r,fit_2017-07_q,fit_2017-07_n_starts,fit_2017-07_sse_log_weighted,fit_2022-08_N,fit_2022-08_p,fit_2022-08_r,fit_2022-08_q,fit_2022-08_n_starts,fit_2022-08_sse_log_weighted,fit_2025_N,fit_2025_p,fit_2025_r,fit_2025_q,fit_2025_n_starts,fit_2025_sse_log_weighted,N_treated,N_controls_eligible,N_matched_pairs,N_unique_controls,median_control_reuse,p95_control_reuse,max_control_reuse,dormant_excess_attention,mean_expected_attention_denominator,relative_displacement_pct,treated_exit_probability,control_exit_probability,exit_difference_pp,median_decay_equivalent_years,N_valid_inversions,N_invalid_inversions,N_boundary_hits,N_numeric_failures
1,202607600,canonical_gridsearch_refit_2026_09_10,82.01711820030768,0.22236388426940065,0.4469116054951434,0.024371072716625017,195,0.006272032998372736,86.56971989408798,0.22728037471131207,0.5010202493980709,0.023172437383188103,195,0.008731017849734951,67.14903354914739,0.015309083816919224,0.015054484896146438,0.030333204633949028,195,0.008845197802425155,69.83179902587469,0.013264355879939842,0.01955392188365736,0.0327854594858336,195,0.017729804506767644,118,10805,118,73,1.0,3.0,6,4.2714781836320945,35.13545946651362,12.157171838618165,0.3559322033898305,0.2627118644067797,9.322033898305083,5.88433315327873,118,0,0,0
2,202607601,canonical_gridsearch_refit_2026_09_10,86.25146539450348,0.29507858056097286,0.5580985445466573,0.02465507733514568,195,0.008390971657576837,83.19127127189465,0.19099450569056423,0.49047318911681614,0.023162792215839906,195,0.010726389901310418,67.0708022653804,0.014996040687125498,0.015886505792784767,0.030851663933243487,195,0.010640042468701694,68.80966310349866,0.011109933701302149,0.02333509545569782,0.03441058406362043,195,0.020383513691239925,119,10815,119,73,1.0,3.0,5,4.866593609880409,35.10321816252884,13.863667961575349,0.3949579831932773,0.2184873949579832,17.64705882352941,7.47863244215544,119,0,0,0
3,202607602,canonical_gridsearch_refit_2026_09_10,79.98830624310506,0.205286606253317,0.4699179998864121,0.024878703205827985,195,0.00823827249556445,87.46509496553595,0.2539197649106469,0.5810011533458859,0.02373167936244068,195,0.011429707880167384,66.46891689555544,0.013817651699787681,0.01817621436984604,0.03196187220068237,195,0.010111999741188721,69.70009696229921,0.012529826603493083,0.021183435804298205,0.033679549030482016,195,0.018385140118424886,118,10791,118,66,1.0,4.0,4,3.85279805944612,34.62004076278288,11.128808558734981,0.4322033898305085,0.2542372881355932,17.79661016949153,5.636019807198398,118,0,0,0
4,202607603,canonical_gridsearch_refit_2026_09_10,84.94760719927737,0.2797538171420828,0.5738824881378286,0.025249097282871173,195,0.009342130755884725,85.40930807812798,0.21754015759723594,0.5404805558163764,0.023661106495468046,195,0.012347471774583528,64.3228382608353,0.009523801832486758,0.025056611348399514,0.03454583148521977,195,0.010480278596747123,68.61521248018003,0.009700093108507567,0.025815922991798728,0.03548049971044304,195,0.020597883701155863,118,10760,118,74,1.0,3.0,4,4.44318676735137,38.709438321262226,11.478303380369193,0.3813559322033898,0.2627118644067797,11.864406779661014,5.490836279572891,118,0,0,0
5,202607604,canonical_gridsearch_refit_2026_09_10,85.28273718909908,0.2702294561870191,0.527229371582534,0.0251400701975418,195,0.007632098569073943,82.41691234810541,0.17196871896959626,0.4563777358348969,0.02357531069236803,195,0.009453925903934115,65.04953040836511,0.011653079249994341,0.0216547666357577,0.0332745373706415,195,0.00916540332698203,69.40245441265493,0.012281650794402967,0.021569631870689672,0.03381743138242734,195,0.0184685380186389,118,10779,118,70,1.0,3.0,5,4.227992438647623,34.88856908801457,12.118560746878222,0.3644067796610169,0.2288135593220339,13.559322033898303,6.246825221972523,118,0,0,0
6,202607605,canonical_gridsearch_refit_2026_09_10,80.90271837708482,0.21464662428126172,0.4685501677219119,0.024657247106439337,195,0.008084358684604744,80.45306550992555,0.16182751770811382,0.4764915833342244,0.023489412198088734,195,0.013374477318600744,66.10653571913008,0.013489302792891044,0.018377891731353544,0.03183532681789964,195,0.010290103004241243,69.20482813107417,0.012121502766645422,0.021501595145863178,0.03358947474292177,195,0.0188034427451158,119,10798,119,74,1.0,3.0,4,5.822173334906453,35.472793580642794,16.413066880877302,0.3697478991596639,0.18487394957983194,18.487394957983195,8.477540985196686,119,0,0,0
7,202607606,canonical_gridsearch_refit_2026_09_10,85.99449779125366,0.2840612941195517,0.5397342647649248,0.024852007769634067,195,0.00679506030829226,85.92259599671104,0.23851633132939434,0.5687013624066483,0.023495068432544983,195,0.011164212597894891,66.9381219473324,0.014868317948277731,0.01614455804800467,0.030981863043568494,195,0.010284265456578791,68.83627941924524,0.011606221886504748,0.022482737108928893,0.03405486999251612,195,0.018114171971555276,119,10817,119,75,1.0,3.0,4,4.966747670393967,32.51055620564966,15.277338348123523,0.3865546218487395,0.21008403361344538,17.647058823529413,8.890027574802836,119,0,0,0
8,202607607,canonical_gridsearch_refit_2026_09_10,83.57824773584127,0.2527315705001784,0.5283785686906938,0.025010349953624778,195,0.008480218447457923,83.36522168814052,0.19237190017963476,0.485748285669709,0.02312609236557027,195,0.011201767980744891,65.81667235494994,0.01289566110068722,0.019745979009999713,0.03260899834082226,195,0.010357220547929947,69.7582630775639,0.012451722248103286,0.021504152469048275,0.03392191883914879,195,0.019352540464934075,119,10810,119,68,1.5,3.0,4,3.1116620046622856,36.86801041662417,8.44000522268271,0.3949579831932773,0.2857142857142857,10.92436974789916,4.7878861820643905,119,0,0,0
9,202607608,canonical_gridsearch_refit_2026_09_10,90.4017529423164,0.32758442052217407,0.5397070411240676,0.02491305562875162,195,0.00897955627169667,82.8448165016357,0.18189136117077173,0.4668899765524696,0.023477653594844734,195,0.010721354559613627,66.13344580791949,0.013492424575004039,0.018883557976393326,0.0323436065576635,195,0.010065384438721266,69.45577263476758,0.012519000654965556,0.021133467814758278,0.03361881600125393,195,0.018897475179086708,119,10779,119,73,1.0,3.0,5,4.7500426217830265,38.81411583702945,12.23792560862971,0.42016806722689076,0.19327731092436976,22.689075630252102,5.300515460190809,119,0,0,0
10,202607609,canonical_gridsearch_refit_2026_09_10,86.45275269082117,0.3013654287382306,0.5647863081348832,0.02495993291158915,195,0.0067555819433716136,85.42041475304335,0.2051969949964516,0.49151404002827825,0.023669274075245248,195,0.010355654426942574,66.44706896230943,0.0136837593764458,0.018638447565816608,0.03228988445431847,195,0.00943689691254685,69.47900916744761,0.012265644109920858,0.02185265811493542,0.034084183921117756,195,0.017266215461533816,118,10807,118,71,1.0,3.5,4,4.708853183797609,39.49845016812105,11.921615060223537,0.4152542372881356,0.2457627118644068,16.94915254237288,5.46890817887363,118,0,0,0
