replication,seed,N_treated_eligible,N_controls_eligible,N_matched_pairs,N_unique_controls,median_control_reuse,p95_control_reuse,max_control_reuse,excess_attention_estimate,treated_exit_probability,control_exit_probability,exit_difference_pp
1,202607060,119,10820,119,113,1.0,1.3999999999999915,2,6.091779612791636,0.3949579831932773,0.17647058823529413,21.848739495798316
2,202607061,119,10829,119,116,1.0,1.0,2,5.048160220617519,0.3949579831932773,0.20168067226890757,19.327731092436974
3,202607062,119,10785,119,114,1.0,1.0,2,5.49137053042437,0.3949579831932773,0.21008403361344538,18.48739495798319
4,202607063,119,10789,119,111,1.0,2.0,2,4.688423930174783,0.3949579831932773,0.23529411764705882,15.966386554621847
5,202607064,119,10794,119,114,1.0,1.0,2,4.749757697024005,0.3949579831932773,0.25210084033613445,14.285714285714285
6,202607065,119,10799,119,112,1.0,2.0,2,4.923245838983798,0.3949579831932773,0.2184873949579832,17.64705882352941
7,202607066,119,10818,119,116,1.0,1.0,2,5.098644012174214,0.3949579831932773,0.20168067226890757,19.327731092436974
8,202607067,119,10789,119,113,1.0,1.3999999999999915,2,5.488844762148194,0.3949579831932773,0.19327731092436976,20.168067226890756
9,202607068,119,10807,119,114,1.0,1.0,2,5.145993479180702,0.3949579831932773,0.2184873949579832,17.64705882352941
10,202607069,119,10769,119,114,1.0,1.0,2,4.839519289935671,0.3949579831932773,0.24369747899159663,15.126050420168067
11,202607070,119,10787,119,115,1.0,1.0,2,5.679848557571135,0.3949579831932773,0.21008403361344538,18.48739495798319
12,202607071,119,10799,119,114,1.0,1.0,2,4.61825485184685,0.3949579831932773,0.24369747899159663,15.126050420168067
13,202607072,119,10788,119,115,1.0,1.0,2,4.921437983905373,0.3949579831932773,0.17647058823529413,21.848739495798316
14,202607073,119,10775,119,114,1.0,1.0,2,5.084646462629632,0.3949579831932773,0.2184873949579832,17.64705882352941
15,202607074,119,10776,119,113,1.0,1.3999999999999915,2,5.609655059431558,0.3949579831932773,0.2184873949579832,17.64705882352941
16,202607075,119,10762,119,116,1.0,1.0,2,5.5392646044827005,0.3949579831932773,0.2184873949579832,17.64705882352941
17,202607076,119,10825,119,113,1.0,1.3999999999999915,2,5.156944951864636,0.3949579831932773,0.20168067226890757,19.327731092436974
18,202607077,119,10820,119,114,1.0,1.0,2,4.665697406780538,0.3949579831932773,0.226890756302521,16.806722689075627
19,202607078,119,10830,119,115,1.0,1.0,2,4.908080819167603,0.3949579831932773,0.2184873949579832,17.64705882352941
20,202607079,119,10787,119,114,1.0,1.0,2,5.429265695045069,0.3949579831932773,0.21008403361344538,18.48739495798319
21,202607080,119,10798,119,114,1.0,1.0,2,5.379448624682249,0.3949579831932773,0.2184873949579832,17.64705882352941
22,202607081,119,10814,119,115,1.0,1.0,2,5.10339940810396,0.3949579831932773,0.23529411764705882,15.966386554621847
