covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,design,snapshot,platform,family
chart_year,1983.171,1990.1973,-0.3907,1983.171,1983.188,-0.001,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
age,33.629,26.6027,0.3907,33.629,33.612,0.001,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
weeks,11.2003,12.0614,-0.1083,11.2003,11.1372,0.0087,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
peak_pos,44.9711,47.3777,-0.0813,44.9711,44.6521,0.0111,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
artist_billboard_songs,20.493,10.0056,0.4506,20.493,18.549,0.1208,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
artist_total_weeks_excl_song,222.5066,60.0165,1.0744,222.5066,201.0949,0.1251,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
artist_mean_weeks_excl_song,12.2047,10.6427,0.2871,12.2047,12.1754,0.0064,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
artist_best_peak_excl_song,6.9503,26.0166,-0.9221,6.9503,7.3155,-0.0314,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
artist_superstar_top1pct,0.2263,0.0506,0.5261,0.2263,0.226,0.0007,catalog historical + artist-success NN,2016-10,Spotify,artist-catalog matching
chart_year,1982.5722,1986.5494,-0.2232,1982.5722,1982.6808,-0.0064,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
age,34.9778,31.0006,0.2232,34.9778,34.8692,0.0064,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
weeks,10.7361,10.8933,-0.021,10.7361,10.6732,0.0088,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
peak_pos,46.3101,51.0329,-0.1613,46.3101,46.0652,0.0085,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_billboard_songs,21.6537,11.679,0.3644,21.6537,18.9377,0.1287,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_total_weeks_excl_song,225.6703,69.4368,0.9375,225.6703,196.4175,0.1592,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_mean_weeks_excl_song,11.9852,10.507,0.2746,11.9852,11.9868,-0.0003,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_best_peak_excl_song,6.8302,27.242,-0.9739,6.8302,7.2709,-0.0386,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_superstar_top1pct,0.2234,0.0543,0.5045,0.2234,0.2183,0.0123,catalog historical + artist-success NN,2017-07,Spotify,artist-catalog matching
chart_year,1983.2365,1988.0359,-0.2722,1983.2365,1983.5468,-0.0183,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
age,34.3135,29.5141,0.2722,34.3135,34.0032,0.0183,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
weeks,11.2165,11.425,-0.0273,11.2165,11.2944,-0.0108,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
peak_pos,44.938,49.5187,-0.1563,44.938,44.3547,0.0202,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_billboard_songs,20.4661,12.4252,0.3146,20.4661,17.8421,0.1634,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_total_weeks_excl_song,222.6846,74.9898,0.9591,222.6846,194.7393,0.1624,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_mean_weeks_excl_song,12.2238,10.7453,0.2721,12.2238,12.1889,0.0076,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_best_peak_excl_song,6.9579,26.4041,-0.9458,6.9579,7.9216,-0.0818,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
artist_superstar_top1pct,0.2262,0.0612,0.4838,0.2262,0.2256,0.0014,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
previous_popularity,29.4773,29.4023,0.004,29.4773,29.2929,0.0101,catalog baseline-attention + artist-success NN,2017-07,Spotify,artist-catalog matching
chart_year,1985.1326,1989.255,-0.2086,1985.1326,1985.3523,-0.0114,catalog historical + artist-success NN,2022-08,Spotify,artist-catalog matching
age,37.5174,33.395,0.2086,37.5174,37.2977,0.0114,catalog historical + artist-success NN,2022-08,Spotify,artist-catalog matching
