evidence_layer,snapshot,song_age,delta_excess,decay_equivalent_years,inversion_status
Matched residual,October 2016,1,2.5221556223943744,0.2093477696678231,valid
Matched residual,October 2016,2,2.5221556223943744,0.3888543712366177,valid
Matched residual,October 2016,3,2.5221556223943744,0.6477593329686142,valid
Matched residual,October 2016,4,2.5221556223943744,0.9604903385223005,valid
Matched residual,October 2016,5,2.5221556223943744,1.2805324000315168,valid
Matched residual,October 2016,6,2.5221556223943744,1.5636160486502613,valid
Matched residual,October 2016,7,2.5221556223943744,1.7852213028677077,valid
Matched residual,October 2016,8,2.5221556223943744,1.9451087505336613,valid
Matched residual,October 2016,9,2.5221556223943744,2.0586232940635902,valid
Matched residual,October 2016,10,2.5221556223943744,2.14368720158728,valid
Matched residual,October 2016,11,2.5221556223943744,2.213616994794693,valid
Matched residual,October 2016,12,2.5221556223943744,2.276383233716281,valid
Matched residual,October 2016,13,2.5221556223943744,2.3362595748259185,valid
Matched residual,October 2016,14,2.5221556223943744,2.3954203629545194,valid
Matched residual,October 2016,15,2.5221556223943744,2.4549502552805915,valid
Matched residual,October 2016,16,2.5221556223943744,2.5153917085068205,valid
Matched residual,October 2016,17,2.5221556223943744,2.577022786824477,valid
Matched residual,October 2016,18,2.5221556223943744,2.6399939363085174,valid
Matched residual,October 2016,19,2.5221556223943744,2.704394402458032,valid
Matched residual,October 2016,20,2.5221556223943744,2.7702842863264934,valid
Matched residual,October 2016,21,2.5221556223943744,2.837709978594418,valid
Matched residual,October 2016,22,2.5221556223943744,2.9067115859919355,valid
Matched residual,October 2016,23,2.5221556223943744,2.9773265060459124,valid
Matched residual,October 2016,24,2.5221556223943744,3.049591149739207,valid
Matched residual,October 2016,25,2.5221556223943744,3.123541773285517,valid
Matched residual,October 2016,26,2.5221556223943744,3.199214881052537,valid
Matched residual,October 2016,27,2.5221556223943744,3.27664742180794,valid
Matched residual,October 2016,28,2.5221556223943744,3.3558768851838785,valid
Matched residual,October 2016,29,2.5221556223943744,3.436941349823371,valid
Matched residual,October 2016,30,2.5221556223943744,3.519879507998546,valid
Matched residual,October 2016,31,2.5221556223943744,3.6047306786465434,valid
Matched residual,October 2016,32,2.5221556223943744,3.691534814578418,valid
Matched residual,October 2016,33,2.5221556223943744,3.780332506630028,valid
Matched residual,October 2016,34,2.5221556223943744,3.8711649860824338,valid
Matched residual,October 2016,35,2.5221556223943744,3.964074125981867,valid
Matched residual,October 2016,36,2.5221556223943744,4.059102441652723,valid
Matched residual,October 2016,37,2.5221556223943744,4.156293090532536,valid
Matched residual,October 2016,38,2.5221556223943744,4.255689871379715,valid
Matched residual,October 2016,39,2.5221556223943744,4.357337222865098,valid
Matched residual,October 2016,40,2.5221556223943744,4.461280221540051,valid
Matched residual,October 2016,41,2.5221556223943744,4.567564579164312,valid
