replication,seed,excess_attention_estimate
1,202607060,6.091779612791636
2,202607061,5.048160220617519
3,202607062,5.49137053042437
4,202607063,4.688423930174783
5,202607064,4.749757697024005
6,202607065,4.923245838983798
7,202607066,5.098644012174214
8,202607067,5.488844762148194
9,202607068,5.145993479180702
10,202607069,4.839519289935671
11,202607070,5.679848557571135
12,202607071,4.61825485184685
13,202607072,4.921437983905373
14,202607073,5.084646462629632
15,202607074,5.609655059431558
16,202607075,5.5392646044827005
17,202607076,5.156944951864636
18,202607077,4.665697406780538
19,202607078,4.908080819167603
20,202607079,5.429265695045069
21,202607080,5.379448624682249
22,202607081,5.10339940810396
23,202607082,4.90080961023139
24,202607083,4.921520315511683
25,202607084,5.428876187287113
26,202607085,4.824893976356124
27,202607086,4.9265198032538065
28,202607087,4.955867296578765
29,202607088,5.5415348452991875
30,202607089,6.185679720923826
31,202607090,4.866291615262557
32,202607091,5.32832182641007
33,202607092,4.916372264764251
34,202607093,5.46655388307361
35,202607094,5.130836438191873
36,202607095,5.38876931330847
37,202607096,5.752618045623456
38,202607097,5.142150848195795
39,202607098,4.736118241206715
40,202607099,5.005717706113342
41,202607100,5.069248599803078
42,202607101,4.787620975253847
43,202607102,5.397393849427854
44,202607103,5.332549316235617
45,202607104,4.853731904719358
46,202607105,4.831372719270496
47,202607106,4.737867685423231
48,202607107,5.581212437457435
49,202607108,5.520042596778849
50,202607109,5.157910637493221
51,202607110,5.474959771497388
52,202607111,5.0459610690379275
53,202607112,4.970987094499678
54,202607113,4.652480209004994
55,202607114,5.528620605069148
56,202607115,5.4692850112853675
57,202607116,5.051361068584104
58,202607117,4.494829693636186
59,202607118,5.564572238415436
60,202607119,5.1563370190770454
61,202607120,4.13000680256878
62,202607121,4.422687587832067
63,202607122,6.218365327532357
64,202607123,5.204205887580226
65,202607124,4.6926394619539495
66,202607125,4.617654108824501
67,202607126,4.961353859503179
68,202607127,5.554707283388621
69,202607128,5.33342524679174
70,202607129,5.004398330490859
71,202607130,5.149202313070737
72,202607131,4.963204948954974
73,202607132,4.229732245545413
74,202607133,5.2208707267980845
75,202607134,4.810871627118077
76,202607135,4.7203282247272025
77,202607136,5.0739353887702485
78,202607137,6.219117576728825
79,202607138,5.945891812705671
80,202607139,5.189871605548804
81,202607140,4.8145631475287125
82,202607141,5.251657691184477
83,202607142,4.636643667635674
84,202607143,6.209916850247096
85,202607144,5.22723680292693
86,202607145,4.948091414744657
87,202607146,4.645710026616913
88,202607147,5.173852433471511
89,202607148,5.186716866178681
90,202607149,4.802487240977883
91,202607150,4.6329448667080015
92,202607151,5.072569906650513
93,202607152,5.360832107643259
94,202607153,5.634179573749253
95,202607154,5.399192362096349
96,202607155,6.2274796292585615
97,202607156,4.057233404100837
98,202607157,4.7143300616056605
99,202607158,5.501005990044481
100,202607159,4.989976612211221
101,202607160,5.279367151425844
102,202607161,5.027749976659723
103,202607162,5.219263607541992
104,202607163,5.074026640375668
105,202607164,5.172602052089382
106,202607165,5.448727126846329
107,202607166,5.361624230354097
108,202607167,4.252741537435666
109,202607168,5.551547039075795
110,202607169,5.184030802618618
111,202607170,5.6262921140016475
112,202607171,5.349266989206231
113,202607172,5.070979868830883
114,202607173,4.524817125313907
115,202607174,5.435295268677967
116,202607175,4.76398097515134
117,202607176,4.9330149149209985
118,202607177,5.916438930519769
119,202607178,4.913345496204535
120,202607179,4.639559862383244
121,202607180,4.97172655827364
122,202607181,4.85638482370347
123,202607182,4.971427312595624
124,202607183,4.563420847032902
125,202607184,4.7639734725899725
126,202607185,4.8447504388234695
127,202607186,5.216605413534074
128,202607187,4.606667390198594
129,202607188,5.806644067907877
130,202607189,5.111406629738506
131,202607190,4.436068187592621
132,202607191,4.8847275953409595
133,202607192,4.898290875204443
134,202607193,5.17117375136363
135,202607194,5.458529042705073
136,202607195,4.1149665199097765
137,202607196,4.808216775216841
138,202607197,4.53627423442264
139,202607198,5.3599759847662325
140,202607199,4.363841365447026
