quantity,value
n_pseudo_event_assignments,500.0
n_positive_assignments,500.0
assignment_mean,5.0438
assignment_median,5.0285
assignment_sd,0.4355
assignment_interval_low,4.2427
assignment_interval_high,5.9974
dormant_excess_point_estimate,5.0438
dormant_excess_integrated_ci_low,2.9717
dormant_excess_integrated_ci_high,6.868
valid_bootstrap_replications,250.0
treated_exit_probability,0.395
control_exit_probability,0.2151
exit_difference_pp,17.9866
exit_integrated_ci_low,6.7355
exit_integrated_ci_high,27.5933
dormant_decay_equivalent_years,6.8827
dormant_decay_integrated_ci_low,3.8899
dormant_decay_integrated_ci_high,10.2247
decay_valid_bootstrap_replications,250.0
inversion_failure_rate,0.0001
boundary_hit_rate,0.0001
median_p95_control_reuse,3.0
max_control_reuse,7.0
n_matched_pairs_per_assignment,119.0
