age_int,attention,n,sd,age,snapshot
0,71.08661417322834,254,11.840857530936708,0.7999999999999545,2016-10
1,61.95238095238095,315,10.5998866888376,1.799999999999954,2016-10
2,57.30685920577617,277,11.01002786783008,2.7999999999999545,2016-10
3,54.83552631578947,304,10.67116906561919,3.7999999999999545,2016-10
4,51.12,275,11.21505765692603,4.7999999999999545,2016-10
5,47.88630490956072,387,12.25537815915477,5.799999999999954,2016-10
6,47.95142857142857,350,10.883095153998537,6.7999999999999545,2016-10
7,45.72542372881356,295,11.076536352034356,7.799999999999955,2016-10
8,46.30313588850174,287,11.06728107583519,8.799999999999955,2016-10
9,47.5450643776824,233,10.927617816252496,9.799999999999956,2016-10
10,45.33730158730159,252,12.324033037083309,10.799999999999956,2016-10
11,45.074074074074076,243,11.759762370868035,11.799999999999956,2016-10
12,44.798122065727696,213,12.918160255286203,12.799999999999956,2016-10
13,43.262135922330096,206,13.779065892831634,13.799999999999956,2016-10
14,40.5,182,12.763791154703368,14.799999999999956,2016-10
15,40.59756097560975,164,13.034978667465847,15.799999999999958,2016-10
16,39.758620689655174,174,12.517239457469799,16.799999999999955,2016-10
17,39.178082191780824,146,13.710647728106517,17.799999999999955,2016-10
18,33.08720930232558,172,14.837066721276438,18.799999999999955,2016-10
19,31.891025641025642,156,14.273175254458959,19.799999999999955,2016-10
20,34.08783783783784,148,13.875505287878088,20.799999999999955,2016-10
21,34.31137724550898,167,12.787373380459583,21.799999999999955,2016-10
22,33.72727272727273,143,12.12039476544252,22.799999999999955,2016-10
23,33.71917808219178,146,14.135181420928093,23.799999999999955,2016-10
24,31.923664122137403,131,12.28796679721243,24.799999999999955,2016-10
25,28.084415584415584,154,13.875709390663044,25.799999999999955,2016-10
26,28.672619047619047,168,12.648399119459507,26.799999999999955,2016-10
27,28.801242236024844,161,13.334082212406106,27.799999999999955,2016-10
28,28.944751381215468,181,12.882685950490147,28.799999999999955,2016-10
29,29.15625,160,13.33767863549155,29.799999999999955,2016-10
30,28.795180722891565,166,13.726558231262203,30.79999999999995,2016-10
31,26.824324324324323,148,13.06796270274064,31.799999999999955,2016-10
32,27.06875,160,13.30962760962598,32.799999999999955,2016-10
33,25.21759259259259,216,13.027122537970302,33.799999999999955,2016-10
