snapshot,category,estimate,std_error,conf_low,conf_high,p_value,n_category,n_snapshot
2016-10,1 realized films,7.6481,0.3047,7.0509,8.2454,0.0,1937,17346
2016-10,2-3 realized films,15.0988,0.4044,14.3062,15.8914,0.0,954,17346
2016-10,4+ realized films,22.6357,0.494,21.6673,23.604,0.0,659,17346
2017-07,1 realized films,8.6452,0.306,8.0455,9.2449,0.0,2166,18188
2017-07,2-3 realized films,16.6278,0.4011,15.8416,17.4139,0.0,1031,18188
2017-07,4+ realized films,24.0227,0.5214,23.0007,25.0446,0.0,691,18188
2022-08,1 realized films,10.0876,0.3003,9.4991,10.6762,0.0,2395,22102
2022-08,2-3 realized films,16.9046,0.4141,16.093,17.7162,0.0,1182,22102
2022-08,4+ realized films,23.864,0.5127,22.8591,24.8689,0.0,849,22102
2025,1 realized films,10.3062,0.2991,9.7201,10.8924,0.0,2533,26144
2025,2-3 realized films,17.9931,0.3876,17.2334,18.7527,0.0,1256,26144
2025,4+ realized films,25.752,0.4467,24.8765,26.6275,0.0,893,26144
