cohort,caliper,matched_pairs,mean_abs_baseline_diff,max_abs_baseline_diff,baseline_smd,chart_year_smd,weeks_smd,peak_smd
2017,0,60,0.0,0.0,0.0,-0.05469380283911516,0.012390858813081877,-0.03553756909123829
2017,1,60,0.0,0.0,0.0,-0.05469380283911516,0.012390858813081877,-0.03553756909123829
2017,2,60,0.0,0.0,0.0,-0.05469380283911516,0.012390858813081877,-0.03553756909123829
2017,3,60,0.0,0.0,0.0,-0.05469380283911516,0.012390858813081877,-0.03553756909123829
2017,5,60,0.0,0.0,0.0,-0.05469380283911516,0.012390858813081877,-0.03553756909123829
2022,0,33,0.0,0.0,0.0,-0.09860051845318986,0.047664096350273806,-0.03423763749030286
2022,1,33,0.0,0.0,0.0,-0.09860051845318986,0.047664096350273806,-0.03423763749030286
2022,2,33,0.0,0.0,0.0,-0.09860051845318986,0.047664096350273806,-0.03423763749030286
2022,3,33,0.0,0.0,0.0,-0.09860051845318986,0.047664096350273806,-0.03423763749030286
2022,5,33,0.0,0.0,0.0,-0.09860051845318986,0.047664096350273806,-0.03423763749030286
