caliper,cohort,contrast,estimate,std_error,n_pairs,p_value,randomization_p
0,2017,event,2.3,0.8897723951967925,60,0.012232140423080984,0.011
0,2017,post_1,3.1166666666666667,1.1525191437229292,60,0.008932413532583991,0.0096
0,2017,post_2,3.05,1.4517523017934952,60,0.03993092953554884,0.0436
1,2017,event,2.3,0.8897723951967925,60,0.012232140423080984,0.01
1,2017,post_1,3.1166666666666667,1.1525191437229292,60,0.008932413532583991,0.0092
1,2017,post_2,3.05,1.4517523017934952,60,0.03993092953554884,0.0444
2,2017,event,2.3,0.8897723951967925,60,0.012232140423080984,0.0104
2,2017,post_1,3.1166666666666667,1.1525191437229292,60,0.008932413532583991,0.0092
2,2017,post_2,3.05,1.4517523017934952,60,0.03993092953554884,0.0412
3,2017,event,2.3,0.8897723951967925,60,0.012232140423080984,0.0122
3,2017,post_1,3.1166666666666667,1.1525191437229292,60,0.008932413532583991,0.0098
3,2017,post_2,3.05,1.4517523017934952,60,0.03993092953554884,0.0398
5,2017,event,2.3,0.8897723951967925,60,0.012232140423080984,0.0086
5,2017,post_1,3.1166666666666667,1.1525191437229292,60,0.008932413532583991,0.0096
5,2017,post_2,3.05,1.4517523017934952,60,0.03993092953554884,0.0402
0,2022,event,2.6666666666666665,2.1072865409470456,33,0.21484678837488205,0.2404
0,2022,post_1,2.606060606060606,1.5422947495800488,33,0.10080112889866925,0.1052
0,2022,pre_placebo,0.2727272727272727,1.0190168383321287,33,0.7906958052117999,0.818
1,2022,event,2.6666666666666665,2.1072865409470456,33,0.21484678837488205,0.2236
1,2022,post_1,2.606060606060606,1.5422947495800488,33,0.10080112889866925,0.1008
1,2022,pre_placebo,0.2727272727272727,1.0190168383321287,33,0.7906958052117999,0.8134
2,2022,event,2.6666666666666665,2.1072865409470456,33,0.21484678837488205,0.2342
2,2022,post_1,2.606060606060606,1.5422947495800488,33,0.10080112889866925,0.1002
2,2022,pre_placebo,0.2727272727272727,1.0190168383321287,33,0.7906958052117999,0.8102
3,2022,event,2.6666666666666665,2.1072865409470456,33,0.21484678837488205,0.224
3,2022,post_1,2.606060606060606,1.5422947495800488,33,0.10080112889866925,0.112
3,2022,pre_placebo,0.2727272727272727,1.0190168383321287,33,0.7906958052117999,0.8134
5,2022,event,2.6666666666666665,2.1072865409470456,33,0.21484678837488205,0.2192
5,2022,post_1,2.606060606060606,1.5422947495800488,33,0.10080112889866925,0.1058
5,2022,pre_placebo,0.2727272727272727,1.0190168383321287,33,0.7906958052117999,0.8334
